,Event,Date,White,Black,Result,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,Variant,TimeControl,ECO,Termination,Gameplay,Points,WDL,Against,ELO,Opponent,EloDif,Opening,Country
0,Rated Rapid ,2021-02-14 13:08:00,santificex,DaRockwilder,1-0,1512,1518,8,-6,Standard,900+10,E10,Normal,. c4 e6 3. Nf3 d5 4. c5 b6 5. b4 Nc6 6. Nc3 Be7 7. a3 O-O 8. g3 Bb7 9. Bg2 bxc5 10. bxc5 Nd7 11. O-O e5 12. e3 e4 13. Nd2 Ba6 14. Re1 Na5 15. Bb2 Nc4 16. Rb1 c6 17. a4 Qa5 18. Nxc4 Bxc4 19. Qd2 Rab8 20. Bh3 Nf6 21. Qc2 Bd3 22. Qd2 Bxb1 23. Rxb1 Rb3 24. Ba1 Rxb1+ 25. Kg2 Rxa1 26. Qb2 Rxa4 27. Nxa4 Qxa4 28. Qb7 Re8 29. Bd7 Nxd7 30. Qxd7 Kf8 31. h4 a5 32. h5 h6 33. g4 g5 34. f4 Qb3 35. Qxc6 a4 36. Qxh6+ Kg8 37. fxg5 Bxg5 38. Qxg5+ Kf8 39. h6 Qc2+ 40. Kg3 Qd1 41. h7 Qh1 42. Qg8+ Ke7 43. Qg5+ f6 44. Qg7+ Ke6 45. c6 a3 46. Qg8+ Ke7 47. Qxd5 Qf3+ 48. Kh4 Qh1+ 49. Kg3 Qxh7 50. Qd7+ Kf8 51. Qxh7 a2 52. Qa7 Rc8 53. Qxa2 Rxc6 54. Qa8+ 1-0,1.0,W,Better Player,1512,DaRockwilder,8,Neo-Indian: 3.Nf3,INT
1,Rated Rapid ,2021-02-14 07:20:00,santificex,Danny098,1-0,1504,1488,8,-13,Standard,900+10,E10,Normal, c4 Nf6 3. Nc3 e6 4. Nf3 c5 5. e3 Nc6 6. Be2 Be7 7. O-O O-O 8. a3 a6 9. dxc5 Bxc5 10. b4 Bb6 11. c5 Bc7 12. Bb2 e5 13. Na2 e4 14. Nd4 Nxd4 15. Bxd4 Re8 16. g3 Bf5 17. Re1 Bh3 18. Bxf6 Qxf6 19. Bh5 g6 20. Bg4 Bxg4 21. Qxg4 h5 22. Qe2 Rad8 23. Rad1 d4 24. exd4 Rxd4 25. Nc3 Rxd1 26. Rxd1 Qe7 27. Nd5 Qe5 28. f4 Qf5 29. Nxc7 Rc8 30. Rd5 Qg4 31. Qxg4 hxg4 32. Nxa6 bxa6 33. Re5 Rd8 34. Rxe4 Rd1+ 35. Kf2 Rd2+ 36. Re2 Rd3 37. c6 Rc3 38. Re8+ Kg7 39. Rc8 Rc2+ 40. Ke3 Rc3+ 41. Ke4 Rxa3 42. c7 Rc3 43. Kd4 Rc6 44. Kd5 Rc1 45. Ke5 f6+ 46. Ke6 Rc6+ 47. Kd7 Rc4 48. Re8 Rd4+ 49. Kc8 Rxb4 50. Rd8 Rc4 51. Rd7+ Kh6 52. Kb8 Rb4+ 53. Ka7 Rc4 54. Kxa6 Rc2 55. Kb7 f5 56. c8=Q Rxc8 57. Kxc8 g5 58. Rd6+ Kh5 59. fxg5 Kxg5 60. Rd5 Kg6 61. Kd7 Kf6 62. Kd6 Kg6 63. Ke5 Kg5 64. Rd8 Kg6 65. Rg8+ Kf7 66. Rg5 f4 67. gxf4 1-0,1.0,W,Worst Player,1504,Danny098,8,Neo-Indian: 3.Nf3,INT
2,Rated Rapid ,2021-02-14 05:50:00,santificex,mohamed_1999,1-0,1498,1428,6,-5,Standard,900+10,D02,Normal, c4 dxc4 3. Nf3 e6 4. Nc3 Nc6 5. e3 Nf6 6. Bxc4 Bb4 7. O-O O-O 8. Bd2 Qe7 9. a3 Bxc3 10. Bxc3 Ne4 11. Ne5 Nxe5 12. dxe5 Qg5 13. Bb4 c5 14. f4 Qh4 15. Be1 Qh6 16. b4 b6 17. Qf3 Bb7 18. Rd1 Rab8 19. Rd7 Bc6 20. Rd6 Bb7 21. Rd7 Bc6 22. Rxa7 Rbc8 23. b5 Nd2 24. Qg3 Be4 25. Bxd2 Rcd8 26. Rf2 Kh8 27. a4 f6 28. Bxe6 fxe5 29. a5 bxa5 30. Bxa5 Rde8 31. Bd7 Rd8 32. Bxd8 exf4 33. exf4 Rxd8 34. Re2 Bg6 35. Qe3 Qh5 36. b6 h6 37. b7 Rxd7 38. b8=Q+ Kh7 39. Rxd7 Bf5 40. Qf8 Bxd7 41. Qee7 Qg6 42. Qxd7 Qb1+ 43. Kf2 Kg6 44. Qfxg7+ Kh5 45. Re5+ Kh4 46. Qdg4# 1-0,1.0,W,Worst Player,1498,mohamed_1999,6,Queen's Pawn: 2.Nf3,INT
3,Rated Bullet,2021-02-14 05:02:00,PritamEiga,santificex,0-1,1676,1702,-5,6,Standard,60+0,B01,Time forfeit, exd5 Qxd5 3. d4 Qd8 4. Nf3 Nf6 5. c3 e6 6. Bc4 Bd6 7. Be2 Bd7 8. Nbd2 b6 9. O-O O-O 10. Re1 Bc6 11. b3 a5 12. Bb2 Ng4 13. h3 Nf6 14. c4 Be7 15. Bd3 g6 16. Ne4 Nxe4 17. Bxe4 Bxe4 18. Rxe4 Nc6 19. Re1 Bb4 20. Re2 Kg7 21. a3 Bd6 22. Bc3 a4 23. b4 b5 24. c5 Be7 25. Rd2 Qd5 26. Ne5 Nxe5 27. dxe5 Qc4 28. Bd4 Rfd8 29. Be3 Rxd2 30. Bxd2 Rd8 31. Rc1 Qe4 32. Rc2 Bg5 33. Qc1 Qe2 34. Bxg5 Rd1+ 35. Qxd1 Qxd1+ 36. Kh2 Qxc2 37. Be3 f5 38. g3 g5 39. Kg2 f4 40. gxf4 gxf4 41. Bd4 Qe4+ 42. Kf1 Qxd4 43. Ke2 Qxe5+ 44. Kf3 Qb2 45. Kg4 Qxa3 0-1,1.0,W,Worst Player,1702,PritamEiga,6,Scandinavian (Centre Counter),INT
4,Rated Bullet,2021-02-14 05:00:00,otrodelmonton,santificex,1-0,1679,1708,6,-6,Standard,60+0,B01,Time forfeit, d3 dxe4 3. dxe4 Qxd1+ 4. Kxd1 Nf6 5. Nc3 e5 6. Nf3 Bb4 7. Be2 Bxc3 8. bxc3 O-O 9. Be3 Nc6 10. Ke1 b6 11. Nd2 Bb7 12. f3 Rad8 13. Kf2 h6 14. Nb3 g5 15. Rhd1 Rxd1 16. Rxd1 Kg7 17. g3 h5 18. f4 gxf4 19. gxf4 Ng4+ 20. Kf3 Nxe3 21. Kxe3 exf4+ 22. Kxf4 f5 23. Rg1+ Kh6 24. exf5 Bc8 25. Bd3 a6 26. Nd4 Ne7 27. Ke5 c5 28. Kd6 Nxf5+ 29. Nxf5+ Bxf5 30. Bxa6 Rd8+ 31. Ke7 Rd7+ 32. Kf6 Bh7 33. Bb5 Ra7 34. a4 Ra8 35. Ke5 Re8+ 36. Kd6 Rd8+ 37. Kc7 Rf8 38. Kxb6 Rf2 39. Rc1 Rxh2 40. Kxc5 Bxc2 41. a5 Be4 42. a6 Ra2 43. a7 Rxa7 44. Kb6 Rb7+ 45. Ka6 Rb8 46. c4 Ra8+ 47. Kb6 Rb8+ 48. Kc5 Rc8+ 49. Kd4 Bb7 50. Bd7 Rd8 51. c5 1-0,0.0,L,Worst Player,1708,otrodelmonton,-6,Scandinavian (Centre Counter),INT
5,Rated Bullet,2021-02-14 04:58:00,santificex,nmpride,1-0,1703,1683,5,-5,Standard,60+0,D15,Time forfeit, c4 Nf6 3. Nc3 dxc4 4. Nf3 c6 5. e3 b5 6. b3 cxb3 7. axb3 e6 8. Be2 Bb4 9. O-O Bxc3 10. Ra2 b4 11. Bb2 Bxb2 12. Rxb2 O-O 13. Qd2 a5 14. Bc4 Ba6 15. Bxa6 Nxa6 16. Ne5 Qc7 17. f4 Nd7 18. Ng4 Qd8 19. Qd3 Nf6 20. Ne5 Nd7 21. Nf3 Qb6 22. Ng5 g6 23. Rf3 Nf6 24. Rh3 Nh5 25. g4 f6 26. gxh5 fxg5 27. hxg6 Rf5 28. gxh7+ Kh8 29. e4 Rxf4 30. e5 c5 31. Qg6 Qc7 32. Rh6 Raf8 33. Qxg5 Qg7 34. Qxg7+ Kxg7 35. Rh3 Rh8 36. Kg2 Rxh7 37. Rxh7+ Kxh7 38. Rf2 Rxd4 39. Rf7+ 1-0,1.0,W,Worst Player,1703,nmpride,5,Slav: 4.Nc3,INT
6,Rated Bullet,2021-02-13 22:58:00,frank4up,santificex,0-1,1738,1697,-7,6,Standard,60+0,B01,Normal, Nc3 d4 3. Nce2 e5 4. d3 c5 5. f4 Nf6 6. fxe5 Nfd7 7. Nf3 f6 8. exf6 Nxf6 9. Bg5 Be7 10. e5 Nfd7 11. Bxe7 Qxe7 12. Qd2 O-O 13. O-O-O Nxe5 14. Nxe5 Qxe5 15. Re1 Qe3 16. Qxe3 dxe3 17. Ng3 Re8 18. Ne4 Nc6 19. Nxc5 Be6 20. Nxe6 Rxe6 21. Be2 Nd4 22. Bf3 Nxf3 23. gxf3 Rf8 24. Rhf1 Rf4 25. d4 Rxd4 26. c3 Rd2 27. Re2 Rxe2 0-1,1.0,W,Better Player,1697,frank4up,6,Scandinavian (Centre Counter),NG
7,Rated Bullet,2021-02-13 22:52:00,santificex,Dariva7,1-0,1691,1702,6,-5,Standard,60+0,A40,Time forfeit, c4 Bg7 3. Nf3 d6 4. e3 Nd7 5. Be2 Ngf6 6. O-O O-O 7. Nc3 Re8 8. d5 c6 9. Re1 cxd5 10. cxd5 e6 11. e4 exd5 12. exd5 b6 13. Bc4 Bb7 14. Bg5 Qc7 15. b3 Nc5 16. Rxe8+ Rxe8 17. h3 a6 18. Qc2 b5 19. Bxf6 bxc4 20. Bxg7 cxb3 21. axb3 Kxg7 22. Ne4 Bxd5 23. Nxc5 dxc5 24. Nd2 Be4 25. Qc3+ f6 26. Nxe4 Rxe4 27. Rxa6 Qf4 28. Ra7+ Kh6 29. Ra2 Qd6 30. Qg3 Qd1+ 31. Kh2 Qd5 32. f3 Re5 33. Rf2 Rg5 34. Qf4 1-0,1.0,W,Better Player,1691,Dariva7,6,Queen's Pawn Game,INT
8,Rated Bullet,2021-02-13 22:52:00,willygradefes,santificex,1-0,1680,1697,6,-6,Standard,60+0,B01,Normal, exd5 Qxd5 3. d4 Qd8 4. Nc3 Nf6 5. f4 e6 6. Nf3 Bb4 7. Bd3 Nc6 8. Bd2 O-O 9. O-O a5 10. a3 Bxc3 11. bxc3 b5 12. Ne5 Nxe5 13. fxe5 Nd5 14. Bxb5 Ba6 15. Bxa6 Rxa6 16. Qe2 f6 17. Qxa6 fxe5 18. Qxe6+ Kh8 19. Rxf8+ Qxf8 20. Qxd5 Qf4 21. Bxf4 exf4 22. Qd8# 1-0,0.0,L,Worst Player,1697,willygradefes,-6,Scandinavian (Centre Counter),INT
9,Rated Bullet,2021-02-13 22:48:00,santificex,ksmall,0-1,1701,1745,-4,5,Standard,60+0,A40,Normal, c4 exd4 3. Qxd4 Nc6 4. Qd1 g6 5. Nf3 Bg7 6. g3 Nf6 7. Bg2 O-O 8. O-O d6 9. Bg5 Bg4 10. Nc3 Qd7 11. h3 Bxh3 12. Bxf6 Bxg2 13. Kxg2 Bxf6 14. e4 Bxc3 15. bxc3 Rad8 16. Qe2 Ne5 17. Ng5 h6 18. Nf3 Rfe8 19. Nxe5 Rxe5 20. Qf3 Rde8 21. Rae1 Qc6 22. Re3 Rxe4 23. Rxe4 Rxe4 24. Re1 Rxe1 25. Qxc6 bxc6 26. Kf3 Rc1 27. Kf4 Rxc3 28. f3 Rxc4+ 29. Ke3 Rc2 30. f4 Rxa2 31. g4 Ra3+ 32. Ke4 Ra4+ 33. Kf3 Ra5 34. f5 Rd5 35. f6 a5 36. Kf4 a4 37. g5 a3 38. gxh6 a2 39. Ke4 a1=Q 40. h7+ Kxh7 41. Kf4 Qxf6+ 42. Ke4 Qd4+ 43. Kf3 Rf5+ 44. Ke2 Qe4+ 45. Kd2 Rf2+ 46. Kc3 Rf3+ 47. Kd2 Qb4+ 48. Ke2 Ra3 49. Kd1 Qb2 0-1,0.0,L,Better Player,1701,ksmall,-4,Queen's Pawn Game,INT
